districtName,date,rainfallMm,soilSaturation,notes
Nyabihu,2026-07-30,112.5,92,Heavy torrential rain recorded on mountain slopes
Musanze,2026-07-30,65.0,78,Continuous rainfall over volcanic foothills
Rubavu,2026-07-30,28.0,52,Moderate afternoon showers near Lake Kivu
Gicumbi,2026-07-30,95.0,88,High precipitation on steep northern ridges
Gasabo,2026-07-30,35.0,60,Standard urban precipitation recorded
Karongi,2026-07-30,55.5,70,Sustained rainfall in western lake basin
Nyabihu,2026-07-29,85.0,84,Continuous precipitation across sectors
Musanze,2026-07-29,50.0,72,Morning rain with high soil moisture
Rubavu,2026-07-29,15.0,45,Light evening drizzle
Gicumbi,2026-07-29,78.0,82,Heavy morning downpour on high slopes
